None	NotMove	Move	MoveTo	NotTurn	Turn	TurnTo	NotSit	Sit	UnSit	Siting	NotJump	JumpUp	JumpFloat	JumpLand	NotKO	KO	KOing	UnKO	NotBattle	BattleIdle	AttackingFixRoot	AttackingFreeRoot	NotFly	StartFly	Flying	FlyDescend	EndFly	NotMount	Mounting	
None	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_
NotMove	_	o	o	o	_	_	_	_	x	x	x	_	_	_	_	_	x	x	x	_	_	_	_	_	_	_	_	_	_	x
Move	_	o	o	o	_	_	_	_	x	x	x	_	_	_	_	_	x	x	x	_	_	x	_	_	_	_	_	_	_	x
MoveTo	_	o	o	o	_	o	o	_	x	x	x	_	_	_	_	_	x	x	x	_	_	x	_	_	x	_	x	x	_	x
NotTurn	_	_	_	_	o	o	o	_	x	x	x	_	_	_	_	_	x	x	x	_	_	x	_	_	_	_	_	_	_	x
Turn	_	_	_	x	o	o	o	_	x	x	x	_	_	_	_	_	x	x	x	_	_	x	_	_	_	_	_	_	_	x
TurnTo	_	_	_	x	o	o	o	_	x	x	x	_	_	_	_	_	x	x	x	_	_	x	_	_	x	_	x	x	_	x
NotSit	_	_	x	x	_	x	x	o	x	o	x	_	x	x	x	_	x	x	x	_	x	x	x	_	x	x	x	x	_	x
Sit	_	_	x	x	_	x	x	o	x	x	x	_	x	x	x	_	x	x	x	_	x	x	x	_	x	x	x	x	_	x
UnSit	_	_	x	x	_	x	x	x	x	x	o	_	x	x	x	_	x	x	x	_	x	x	x	_	x	x	x	x	_	x
Siting	_	_	x	x	_	x	x	x	o	x	x	_	x	x	x	_	x	x	x	_	x	x	x	_	x	x	x	x	_	x
NotJump	_	_	_	_	_	_	_	_	x	x	x	o	x	x	o	_	x	x	x	_	_	x	_	_	x	x	x	x	_	x
JumpUp	_	_	_	_	_	_	_	_	x	x	x	o	x	x	x	_	x	x	x	_	_	x	_	_	x	x	x	x	_	x
JumpFloat	_	_	_	_	_	_	_	_	x	x	x	x	o	x	x	_	x	x	x	_	_	x	_	_	x	x	x	x	_	x
JumpLand	_	_	_	_	_	_	_	_	x	x	x	x	x	o	x	_	x	x	x	_	_	x	_	_	x	x	x	x	_	x
NotKO	_	_	x	x	_	x	x	_	x	x	x	_	x	x	x	o	x	x	o	_	x	x	x	_	x	x	x	x	_	x
KO	_	_	o	o	_	o	o	_	o	o	o	_	o	o	o	o	x	x	x	_	o	o	o	_	x	x	x	x	_	x
KOing	_	_	x	x	_	x	x	_	x	x	x	_	x	x	x	x	o	x	x	_	x	x	x	_	x	x	x	x	_	x
UnKO	_	_	x	x	_	x	x	_	x	x	x	_	x	x	x	x	x	o	x	_	x	x	x	_	x	x	x	x	_	x
NotBattle	_	_	_	_	_	_	_	_	x	x	x	_	_	_	_	_	x	x	x	o	o	x	x	_	_	_	_	_	_	_
BattleIdle	_	_	_	_	_	_	_	_	x	x	x	_	_	_	_	_	x	x	x	o	o	o	o	_	_	_	_	_	_	_
AttackingFixRoot	_	_	x	x	_	x	x	_	x	x	x	_	x	x	x	_	x	x	x	x	o	x	x	_	x	_	x	x	_	x
AttackingFreeRoot	_	_	_	_	_	_	_	_	x	x	x	_	_	_	_	_	x	x	x	x	o	x	x	_	x	_	x	x	_	_
NotFly	_	_	_	_	_	_	_	_	x	x	x	_	x	x	x	_	x	x	x	_	_	_	_	o	x	x	x	o	_	x
StartFly	_	_	_	_	_	_	_	_	x	x	x	_	x	x	x	_	x	x	x	_	_	x	_	o	x	x	x	x	_	x
Flying	_	_	_	_	_	_	_	_	x	x	x	_	x	x	x	_	x	x	x	_	_	x	_	x	o	x	x	x	_	x
FlyDescend	_	_	_	_	_	_	_	_	x	x	x	_	x	x	x	_	x	x	x	_	_	x	_	x	x	o	x	x	_	x
EndFly	_	_	_	_	_	_	_	_	x	x	x	_	x	x	x	_	x	x	x	_	_	x	_	x	x	x	o	x	_	x
NotMount	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	o	o
Mounting	_	_	o	o	_	o	o	_	o	o	o	_	o	o	o	_	o	o	o	_	o	o	o	_	o	o	o	o	o	x
